,method,auc_noisy,elapsed,subproblem,subproblem_id,dataset_id,num_boost_round
266,TotalGain-oob (Shap),0.44,15.099924325942993,classification,2,3,16
267,TotalGain,0.7111111111111111,0.9212167263031006,classification,2,3,16
268,TotalGain (Shap),0.7644444444444445,0.3379027843475342,classification,2,3,16
269,Permutation (perm_round = 5),0.38222222222222224,1.658822774887085,classification,2,3,16
270,TotalGain-oob (Saabas),0.48000000000000004,0.7754738330841064,classification,2,3,32
271,TotalGain-oob (Shap),0.4266666666666667,0.7585883140563965,classification,2,3,32
272,TotalGain,0.6622222222222222,1.3927326202392578,classification,2,3,32
273,TotalGain (Shap),0.7155555555555555,0.6860792636871338,classification,2,3,32
274,Permutation (perm_round = 5),0.5111111111111111,1.7313008308410645,classification,2,3,32
275,TotalGain-oob (Saabas),0.4711111111111111,1.1370537281036377,classification,2,3,64
276,TotalGain-oob (Shap),0.4355555555555556,1.1753787994384766,classification,2,3,64
277,TotalGain,0.6222222222222222,2.426771402359009,classification,2,3,64
278,TotalGain (Shap),0.6977777777777778,1.364283800125122,classification,2,3,64
279,Permutation (perm_round = 5),0.5955555555555556,1.8531439304351807,classification,2,3,64
280,TotalGain-oob (Saabas),0.7093333333333333,0.843148946762085,regression,1,0,1
281,TotalGain-oob (Shap),0.8853333333333333,4.553814888000488,regression,1,0,1
282,TotalGain,0.9226666666666666,1.0020606517791748,regression,1,0,1
283,TotalGain (Shap),0.9413333333333334,0.07015800476074219,regression,1,0,1
284,Permutation (perm_round = 5),0.456,4.818685054779053,regression,1,0,1
285,TotalGain-oob (Saabas),0.6933333333333332,0.21853947639465332,regression,1,0,2
286,TotalGain-oob (Shap),0.8666666666666666,0.19802641868591309,regression,1,0,2
287,TotalGain,0.9786666666666666,0.48754167556762695,regression,1,0,2
288,TotalGain (Shap),0.9893333333333333,0.0884253978729248,regression,1,0,2
289,Permutation (perm_round = 5),0.3093333333333334,2.8122217655181885,regression,1,0,2
290,TotalGain-oob (Saabas),0.6973333333333334,2.1193950176239014,regression,1,0,4
291,TotalGain-oob (Shap),0.8653333333333333,0.25158214569091797,regression,1,0,4
292,TotalGain,0.9306666666666668,1.5697147846221924,regression,1,0,4
293,TotalGain (Shap),0.976,0.1567063331604004,regression,1,0,4
294,Permutation (perm_round = 5),0.44399999999999995,2.825070858001709,regression,1,0,4
295,TotalGain-oob (Saabas),0.6933333333333334,0.39078521728515625,regression,1,0,8
296,TotalGain-oob (Shap),0.8746666666666667,16.53041934967041,regression,1,0,8
297,TotalGain,0.8160000000000001,1.3727760314941406,regression,1,0,8
298,TotalGain (Shap),0.9306666666666668,0.2995920181274414,regression,1,0,8
299,Permutation (perm_round = 5),0.24000000000000002,4.770628929138184,regression,1,0,8
300,TotalGain-oob (Saabas),0.752,0.558394193649292,regression,1,0,16
301,TotalGain-oob (Shap),0.9146666666666666,1.079033374786377,regression,1,0,16
302,TotalGain,0.7146666666666666,1.1505625247955322,regression,1,0,16
303,TotalGain (Shap),0.9013333333333333,0.5890803337097168,regression,1,0,16
